acquisition_channel,sessions,users,purchase_sessions,transactions,revenue_usd,session_conversion_rate,average_order_value_usd,revenue_per_session_usd
Organic Search,122841,112358,1347,1447,97281,0.01096539429,67.22944022,0.7919261484
Other,74687,65309,1213,1330,79436,0.01624111291,59.72631579,1.063585363
Referral,63524,55495,1056,1173,78488,0.01662363831,66.91219096,1.235564511
Direct,83459,75951,1079,1174,74416,0.01292850382,63.38671210,0.8916473957
Paid Search,15618,15528,153,155,8487,0.009796388782,54.75483871,0.5434114483
